,arrivals
1360,9.0
1361,5.0
1362,3.0
1363,5.0
1364,6.0
1365,4.0
1366,4.0
1367,4.0
1368,6.0
1369,5.0
1370,3.0
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,0.0
1376,0.0
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,1.0
1382,1.0
1383,5.0
1384,7.0
1385,6.0
1386,4.0
1387,6.0
1388,6.0
1389,3.0
1390,5.0
1391,6.0
1392,7.0
1393,6.0
1394,2.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,0.0
1400,0.0
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,1.0
1407,6.0
1408,7.0
1409,4.0
1410,4.0
1411,6.0
1412,6.0
1413,4.0
1414,4.0
1415,5.0
1416,7.0
1417,7.0
1418,2.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,7.0
1432,6.0
1433,5.0
1434,5.0
1435,8.0
1436,7.0
1437,5.0
1438,5.0
1439,6.0
1440,9.0
1441,8.0
1442,3.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0
1455,1.0
1456,6.0
1457,7.0
1458,10.0
1459,11.0
1460,10.0
1461,7.0
1462,6.0
1463,5.0
1464,7.0
1465,5.0
1466,3.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.0
1474,0.0
1475,0.0
1476,0.0
1477,0.0
1478,0.0
1479,2.0
1480,3.0
1481,4.0
1482,8.0
1483,7.0
1484,7.0
1485,6.0
1486,6.0
1487,4.0
1488,4.0
1489,2.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,0.0
1497,0.0
1498,0.0
1499,0.0
1500,0.0
1501,0.0
1502,0.0
1503,6.0
1504,4.0
1505,3.0
1506,3.0
1507,5.0
1508,5.0
1509,3.0
1510,2.0
1511,4.0
1512,4.0
1513,4.0
1514,1.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,2.0
1527,6.0
1528,5.0
1529,4.0
1530,4.0
1531,5.0
1532,6.0
1533,4.0
1534,4.0
1535,5.0
1536,6.0
1537,5.0
1538,3.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,2.0
1551,6.0
1552,8.0
1553,5.0
1554,4.0
1555,6.0
1556,6.0
1557,3.0
1558,5.0
1559,6.0
1560,7.0
1561,6.0
1562,2.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
